delivery_partner_id,partner_name,city,vehicle_type,employment_type,avg_rating,is_active
DP06928,Suresh B,Chennai,Bike,Full-Time,3.73,True
DP13939,Santosh H,Delhi,Scooter,Part-Time,4.06,True
DP03101,Neha Q,Kolkata,Bike,Part-Time,4.22,True
DP02304,Arjun F,Bengaluru,Car,Full-Time,3.97,True
DP13601,Deepak U,Pune,Scooter,Full-Time,4.23,True
DP06527,Neha B,Mumbai,Car,Contract,4.09,True
DP00566,Priya I,Pune,Scooter,Full-Time,4.48,True
DP02231,Deepak F,Delhi,Bike,Full-Time,4.15,True
DP14554,Santosh G,Bengaluru,Scooter,Contract,4.52,True
DP13763,Vikas F,Bengaluru,Cycle,Contract,4.08,True
DP08483,Ananya A,Ahmedabad,Scooter,Part-Time,4.36,True
DP07072,Priya Y,Mumbai,Bike,Full-Time,4.32,True
DP04203,Arjun R,Mumbai,Bike,Contract,4.5,True
DP10903,Divya H,Ahmedabad,Scooter,Full-Time,4.36,True
DP01362,Ananya B,Bengaluru,Scooter,Full-Time,4.37,True
DP04745,Vikas F,Bengaluru,Bike,Full-Time,4.24,True
DP12226,Shreya B,Ahmedabad,Scooter,Part-Time,4.44,False
DP10991,Rahul S,Hyderabad,Bike,Full-Time,4.64,True
DP01588,Rakesh Y,Chennai,Bike,Full-Time,4.48,True
DP12096,Vikas C,Bengaluru,Bike,Contract,4.77,False
DP03193,Suresh C,Pune,Scooter,Part-Time,4.43,True
DP12884,Meena K,Delhi,Bike,Full-Time,4.79,True
DP06739,Ananya O,Kolkata,Bike,Full-Time,3.78,False
DP00448,Sneha K,Ahmedabad,Bike,Part-Time,4.24,True
DP06195,Vikas F,Mumbai,Bike,Full-Time,4.08,True
DP12961,Shreya N,Bengaluru,Bike,Full-Time,4.35,True
DP00982,Divya Y,Bengaluru,Scooter,Contract,4.6,True
DP14849,Rahul F,Bengaluru,Scooter,Full-Time,3.83,True
DP09540,Ravi L,Bengaluru,Scooter,Part-Time,4.45,True
DP13463,Meena R,Delhi,Bike,Part-Time,4.35,True
DP01300,Pooja F,Bengaluru,Bike,Full-Time,4.42,True
DP12866,Amit L,Mumbai,Cycle,Full-Time,4.64,True
DP14037,Santosh Z,Kolkata,Cycle,Full-Time,4.01,True
DP02380,Rahul M,Bengaluru,Bike,Part-Time,4.11,True
DP00901,Deepak P,Bengaluru,Scooter,Contract,4.01,True
DP07479,Pooja B,Bengaluru,Bike,Part-Time,4.08,True
DP10638,Neha K,Bengaluru,Cycle,Part-Time,3.94,True
DP13238,Neha H,Delhi,Bike,Part-Time,4.5,True
DP03707,Meena P,Pune,Bike,Full-Time,4.16,True
DP01209,Ananya K,Bengaluru,Scooter,Contract,4.52,True
DP07627,Manoj Q,Chennai,Cycle,Part-Time,4.01,True
DP04094,Pooja C,Bengaluru,Scooter,Contract,4.2,False
DP12860,Ravi X,Mumbai,Bike,Full-Time,4.58,True
DP09305,Kiran B,Ahmedabad,Cycle,Part-Time,4.16,True
DP09437,Vikas M,Kolkata,Scooter,Full-Time,4.26,True
DP01955,Arjun P,Kolkata,Cycle,Contract,3.94,True
DP01303,Arjun T,Chennai,Bike,Full-Time,4.6,True
DP09166,Amit O,Bengaluru,Scooter,Full-Time,3.65,True
DP05117,Manoj N,Delhi,Scooter,Contract,4.45,True
DP04008,Priya I,Mumbai,Bike,Full-Time,4.26,True
DP13086,Shreya A,Bengaluru,Scooter,Full-Time,4.32,True
DP06092,Rakesh J,Delhi,Scooter,Contract,4.18,True
DP09661,Shreya E,Hyderabad,Bike,Part-Time,4.41,True
DP07093,Nikhil H,Bengaluru,Scooter,Contract,4.01,True
DP04245,Amit W,Pune,Cycle,Part-Time,4.22,True
DP08358,Vikas N,Kolkata,Scooter,Full-Time,4.65,True
DP02485,Divya T,Delhi,Scooter,Full-Time,4.34,True
DP08360,Meena W,Ahmedabad,Bike,Full-Time,3.95,True
DP06989,Ravi K,Bengaluru,Bike,Full-Time,4.21,True
DP07023,Divya R,Mumbai,Bike,Contract,4.01,True
DP05775,Manoj P,Delhi,Bike,Part-Time,3.61,True
DP00934,Rahul A,Mumbai,Scooter,Contract,3.9,True
DP11767,Priya Y,Pune,Bike,Part-Time,3.68,False
DP12627,Meena A,Mumbai,Cycle,Full-Time,4.35,True
DP10676,Deepak G,Pune,Scooter,Part-Time,4.12,True
DP12114,Deepak F,Delhi,Bike,Full-Time,4.4,True
DP08432,Arjun K,Mumbai,Car,Full-Time,4.1,True
DP05086,Vikas S,Mumbai,Cycle,Contract,3.85,True
DP12418,Sneha K,Chennai,Bike,Full-Time,3.84,False
DP07948,Rahul H,Ahmedabad,Bike,Part-Time,3.96,True
DP12542,Nikhil Q,Chennai,Bike,Full-Time,4.59,True
DP03466,Shreya A,Pune,Scooter,Contract,4.16,True
DP10476,Deepak G,Mumbai,Bike,Part-Time,4.66,True
DP11118,Arjun B,Delhi,Cycle,Part-Time,4.29,True
DP04639,Kiran S,Bengaluru,Scooter,Contract,4.12,False
DP13821,Ravi U,Kolkata,Bike,Full-Time,4.18,True
DP14389,Manoj J,Bengaluru,Scooter,Contract,4.3,True
DP11959,Arjun I,Chennai,Bike,Part-Time,4.71,True
DP13016,Deepak I,Chennai,Bike,Full-Time,3.53,True
DP02488,Amit F,Mumbai,Bike,Full-Time,3.92,True
DP13415,Meena V,Hyderabad,Bike,Full-Time,3.97,True
DP10284,Ravi I,Mumbai,Scooter,Full-Time,4.48,True
DP12552,Rahul E,Kolkata,Bike,Contract,4.63,True
DP08403,Amit C,Delhi,Scooter,Full-Time,4.4,True
DP07007,Priya W,Pune,Cycle,Part-Time,4.11,True
DP01381,Rahul D,Mumbai,Scooter,Part-Time,3.99,False
DP08476,Meena H,Kolkata,Scooter,Full-Time,4.26,True
DP12798,Shreya I,Kolkata,Bike,Full-Time,4.21,True
DP10089,Priya R,Bengaluru,Scooter,Full-Time,4.37,True
DP12546,Vikas Q,Bengaluru,Bike,Part-Time,4.13,True
DP05531,Ananya C,Bengaluru,Bike,Part-Time,4.53,True
DP10831,Kiran D,Kolkata,Cycle,Full-Time,3.92,False
DP07623,Nikhil V,Bengaluru,Car,Full-Time,3.94,True
DP05721,Amit H,Delhi,Scooter,Contract,3.61,True
DP11684,Santosh F,Ahmedabad,Bike,Full-Time,4.45,True
DP11694,Vikas D,Chennai,Bike,Part-Time,4.25,True
DP09647,Deepak E,Pune,Scooter,Contract,4.46,True
DP01309,Priya H,Bengaluru,Scooter,Part-Time,5.0,True
DP06331,Santosh G,Delhi,Scooter,Full-Time,3.98,True
DP05558,Kiran S,Hyderabad,Scooter,Full-Time,4.31,True
DP02679,Sneha T,Chennai,Scooter,Full-Time,3.86,True
DP14059,Deepak C,Kolkata,Bike,Full-Time,4.34,True
DP10225,Priya D,Chennai,Scooter,Part-Time,4.15,True
DP03085,Manoj V,Ahmedabad,Scooter,Part-Time,4.83,True
DP02087,Sneha F,Ahmedabad,Scooter,Part-Time,3.48,True
DP12903,Suresh I,Mumbai,Bike,Part-Time,4.49,False
DP09011,Rakesh U,Chennai,Bike,Part-Time,4.19,True
DP01731,Vikas M,Ahmedabad,Cycle,Part-Time,4.19,True
DP00723,Suresh C,Mumbai,Scooter,Contract,4.38,True
DP01184,Ananya F,Delhi,Car,Part-Time,4.63,True
DP04664,Sneha T,Bengaluru,Scooter,Contract,4.51,True
DP03311,Kiran T,Chennai,Scooter,Part-Time,4.36,True
DP05593,Shreya T,Bengaluru,Cycle,Part-Time,4.01,True
DP05097,Pooja A,Chennai,Scooter,Contract,4.23,False
DP00583,Nikhil E,Bengaluru,Scooter,Full-Time,4.17,True
DP13879,Ravi G,Pune,Scooter,Full-Time,3.66,True
DP01894,Ravi L,Kolkata,Scooter,Full-Time,4.29,True
DP04354,Sneha Y,Mumbai,Bike,Part-Time,3.88,True
DP11223,Ravi F,Pune,Scooter,Part-Time,4.13,True
DP14526,Amit N,Pune,Car,Full-Time,4.77,True
DP12018,Sneha B,Mumbai,Car,Part-Time,4.31,True
DP06855,Santosh M,Delhi,Scooter,Part-Time,4.35,True
DP03960,Meena C,Bengaluru,Bike,Full-Time,4.36,True
DP08067,Sneha T,Hyderabad,Cycle,Full-Time,4.29,False
DP04506,Santosh O,Bengaluru,Bike,Contract,4.18,True
DP14859,Vikas N,Bengaluru,Bike,Full-Time,4.15,True
DP06001,Deepak F,Delhi,Cycle,Full-Time,3.81,True
DP08414,Amit X,Bengaluru,Bike,Part-Time,3.91,True
DP04086,Ravi B,Mumbai,Cycle,Full-Time,4.17,True
DP03836,Pooja D,Bengaluru,Cycle,Part-Time,3.99,True
DP11964,Kiran U,Kolkata,Scooter,Full-Time,3.84,False
DP00324,Amit Y,Mumbai,Car,Full-Time,4.47,True
DP00946,Neha Y,Chennai,Bike,Full-Time,4.46,True
DP05247,Kiran W,Mumbai,Bike,Contract,3.89,True
DP14758,Deepak N,Chennai,Bike,Part-Time,4.72,True
DP04336,Rakesh H,Kolkata,Bike,Part-Time,4.15,True
DP08923,Rahul F,Mumbai,Bike,Contract,4.46,True
DP11029,Meena U,Mumbai,Bike,Part-Time,4.22,True
DP14960,Rahul S,Chennai,Scooter,Part-Time,4.29,True
DP11329,Suresh H,Mumbai,Car,Full-Time,4.37,True
DP09450,Vikas Z,Kolkata,Cycle,Full-Time,4.18,True
DP04931,Shreya S,Ahmedabad,Scooter,Part-Time,4.41,True
DP03833,Priya D,Pune,Bike,Part-Time,3.41,True
DP00564,Rahul E,Bengaluru,Bike,Full-Time,4.04,True
DP04262,Neha N,Bengaluru,Bike,Contract,4.24,True
DP11568,Priya U,Chennai,Scooter,Part-Time,4.51,True
DP10216,Santosh K,Delhi,Scooter,Full-Time,3.97,True
DP09880,Kiran P,Delhi,Car,Part-Time,4.21,True
DP04986,Neha Y,Delhi,Car,Full-Time,4.2,True
DP02938,Rahul G,Delhi,Scooter,Full-Time,4.17,True
DP13389,Sneha X,Kolkata,Bike,Part-Time,4.75,True
DP01784,Divya Z,Pune,Scooter,Full-Time,4.05,True
DP05572,Priya Y,Pune,Scooter,Full-Time,4.35,True
DP14734,Rakesh X,Kolkata,Scooter,Full-Time,4.12,True
DP02691,Priya N,Delhi,Bike,Part-Time,4.42,True
DP11341,Sneha F,Ahmedabad,Car,Part-Time,3.81,True
DP11381,Meena Z,Chennai,Cycle,Full-Time,3.97,True
DP03060,Ravi O,Bengaluru,Scooter,Full-Time,4.4,True
DP10119,Neha R,Hyderabad,Bike,Full-Time,4.02,True
DP04018,Santosh Z,Mumbai,Bike,Part-Time,4.55,True
DP07549,Divya Q,Chennai,Scooter,Full-Time,4.31,True
DP02966,Amit J,Pune,Car,Full-Time,4.09,True
DP02438,Arjun O,Pune,Bike,Contract,3.87,True
DP02003,Sneha Z,Delhi,Car,Contract,4.21,False
DP11628,Deepak S,Delhi,Scooter,Contract,4.13,True
DP14424,Divya F,Kolkata,Car,Contract,4.13,False
DP07180,Sneha R,Bengaluru,Scooter,Full-Time,4.33,True
DP02887,Arjun T,Bengaluru,Scooter,Part-Time,4.19,True
DP04970,Ananya T,Ahmedabad,Bike,Full-Time,4.67,True
DP06876,Shreya B,Kolkata,Bike,Full-Time,3.82,True
DP03547,Manoj K,Bengaluru,Scooter,Full-Time,3.95,True
DP05523,Pooja E,Pune,Scooter,Full-Time,4.12,True
DP13090,Vikas Z,Chennai,Car,Part-Time,4.03,False
DP03450,Meena Y,Pune,Cycle,Part-Time,3.96,True
DP14279,Ravi Y,Bengaluru,Scooter,Full-Time,4.07,True
DP08013,Kiran T,Chennai,Cycle,Part-Time,4.15,True
DP12931,Nikhil C,Bengaluru,Scooter,Full-Time,4.7,True
DP07847,Divya B,Kolkata,Scooter,Part-Time,4.06,False
DP09565,Meena Z,Mumbai,Bike,Contract,4.46,True
DP11992,Manoj J,Bengaluru,Scooter,Full-Time,4.64,True
DP03879,Amit M,Pune,Scooter,Full-Time,4.37,True
DP14325,Rahul F,Pune,Scooter,Part-Time,4.37,True
DP02491,Sneha H,Mumbai,Car,Full-Time,4.46,True
DP13533,Vikas C,Ahmedabad,Bike,Part-Time,3.84,True
DP04875,Amit V,Delhi,Scooter,Contract,4.03,True
DP10845,Vikas A,Ahmedabad,Scooter,Full-Time,3.64,True
DP08763,Rahul I,Hyderabad,Car,Full-Time,4.67,True
DP09240,Priya J,Chennai,Scooter,Full-Time,5.0,True
DP00806,Ananya C,Mumbai,Scooter,Part-Time,4.41,True
DP03348,Arjun K,Bengaluru,Bike,Full-Time,4.35,True
DP13449,Santosh T,Mumbai,Bike,Contract,4.09,True
DP12190,Nikhil G,Delhi,Bike,Full-Time,4.46,True
DP05310,Sneha K,Bengaluru,Scooter,Full-Time,4.15,True
DP11074,Neha F,Mumbai,Bike,Full-Time,4.1,True
DP00874,Sneha Y,Hyderabad,Bike,Part-Time,4.21,True
DP13125,Pooja U,Bengaluru,Car,Contract,4.4,True
DP10679,Santosh X,Ahmedabad,Scooter,Full-Time,4.05,True
DP14142,Santosh O,Mumbai,Scooter,Full-Time,4.62,True
DP07734,Neha Q,Bengaluru,Bike,Full-Time,3.99,True
DP10838,Shreya J,Bengaluru,Cycle,Full-Time,4.01,True
DP10430,Neha Y,Delhi,Bike,Full-Time,3.81,False
DP08724,Ravi Z,Kolkata,Scooter,Full-Time,4.02,True
DP10096,Kiran D,Pune,Cycle,Contract,3.95,True
DP03299,Santosh B,Kolkata,Scooter,Full-Time,4.32,True
DP13570,Shreya U,Mumbai,Car,Full-Time,4.0,True
DP06892,Ravi O,Mumbai,Scooter,Full-Time,4.65,True
DP12095,Nikhil Y,Bengaluru,Scooter,Full-Time,4.93,True
DP05486,Kiran J,Mumbai,Scooter,Contract,4.15,True
DP10895,Pooja P,Kolkata,Scooter,Part-Time,4.35,False
DP00303,Manoj M,Delhi,Scooter,Full-Time,3.84,False
DP14723,Priya L,Pune,Scooter,Contract,4.61,True
DP10376,Divya Q,Bengaluru,Cycle,Full-Time,3.87,True
DP05092,Nikhil U,Bengaluru,Scooter,Part-Time,4.25,True
DP14335,Santosh W,Bengaluru,Cycle,Full-Time,4.25,True
DP07813,Meena D,Chennai,Scooter,Contract,4.46,True
DP12960,Santosh N,Chennai,Scooter,Part-Time,4.14,True
DP10884,Rakesh Z,Kolkata,Scooter,Part-Time,3.8,False
DP02503,Suresh Z,Delhi,Car,Full-Time,3.91,True
DP03440,Pooja J,Delhi,Bike,Full-Time,3.91,True
DP06190,Deepak W,Bengaluru,Bike,Part-Time,4.14,True
DP03769,Manoj F,Chennai,Bike,Contract,4.59,False
DP03736,Deepak Q,Bengaluru,Scooter,Part-Time,4.06,True
DP03660,Sneha V,Bengaluru,Cycle,Full-Time,4.08,True
DP04516,Kiran P,Hyderabad,Bike,Part-Time,4.48,True
DP03066,Deepak I,Bengaluru,Scooter,Contract,3.46,True
DP09348,Kiran H,Pune,Bike,Contract,4.16,True
DP14634,Pooja N,Bengaluru,Scooter,Part-Time,4.48,True
DP12009,Manoj Y,Bengaluru,Scooter,Contract,4.05,False
DP13127,Nikhil K,Bengaluru,Scooter,Full-Time,4.44,False
DP12950,Pooja M,Mumbai,Scooter,Part-Time,4.19,True
DP04017,Kiran T,Chennai,Cycle,Part-Time,4.38,True
DP05112,Nikhil V,Delhi,Cycle,Full-Time,4.33,False
DP05927,Pooja E,Bengaluru,Scooter,Contract,4.07,True
DP11027,Neha J,Bengaluru,Scooter,Contract,4.58,True
DP11335,Priya B,Delhi,Scooter,Contract,4.04,True
DP03563,Vikas V,Bengaluru,Bike,Full-Time,4.39,True
DP03995,Rahul L,Bengaluru,Scooter,Full-Time,4.82,True
DP08896,Vikas M,Bengaluru,Scooter,Full-Time,4.35,True
DP12143,Rakesh L,Chennai,Scooter,Full-Time,4.25,True
DP03898,Deepak H,Bengaluru,Bike,Part-Time,4.82,True
DP14720,Rahul Y,Kolkata,Scooter,Part-Time,4.4,False
DP07717,Priya L,Pune,Bike,Full-Time,4.31,True
DP04441,Neha J,Chennai,Bike,Part-Time,4.78,True
DP11910,Shreya N,Pune,Scooter,Part-Time,4.35,True
DP06579,Arjun P,Bengaluru,Car,Full-Time,4.26,False
DP02016,Shreya H,Bengaluru,Scooter,Full-Time,4.3,True
DP00860,Divya B,Mumbai,Cycle,Full-Time,4.35,True
DP14256,Nikhil R,Mumbai,Scooter,Part-Time,4.18,True
DP10342,Deepak Y,Pune,Bike,Full-Time,4.4,False
DP10538,Arjun I,Delhi,Scooter,Full-Time,3.91,True
DP03624,Rahul P,Bengaluru,Cycle,Full-Time,4.18,True
DP00769,Meena J,Pune,Cycle,Full-Time,4.29,True
DP11877,Rahul T,Bengaluru,Scooter,Full-Time,4.03,False
DP06010,Santosh T,Kolkata,Scooter,Part-Time,4.68,True
DP12621,Kiran B,Chennai,Cycle,Part-Time,4.33,True
DP14026,Manoj V,Kolkata,Bike,Part-Time,4.11,True
